tag_id,tag_type,tag_attachment_method,attached,date_m_d_y,species,id,hour
1E33344C,LifeTag,harnesss,no,NA,NA,NA,NA
3433332D,LifeTag,harnesss,no,NA,NA,NA,NA
2D4C1E07,LifeTag,harnesss,no,NA,NA,NA,NA
2A664C1E,LifeTag,harnesss,no,NA,NA,NA,NA
1E664B55,LifeTag,harnesss,no,NA,NA,NA,NA
33662A55,LifeTag,harnesss,no,NA,NA,NA,NA
19522D2A,LifeTag,harnesss,no,NA,NA,NA,NA
5552664C,LifeTag,harnesss,no,NA,NA,NA,NA
1955342A,LifeTag,harnesss,yes,2/20/23,Pterophanes_cyanopterus,BBB,07:20
4B4C4B2A,LifeTag,harnesss,yes,2/21/23,Pterophanes_cyanopterus,GGG,06:20
34522D78,LifeTag,glue-on,yes,1/18/23,Chalcostigma_heteropogon,PWB,06:30
524C332D,LifeTag,harnesss,yes,2/19/23,Pterophanes_cyanopterus,PPP,06:20
2D52614C,LifeTag,glue-on,yes,1/17/23,Chalcostigma_heteropogon,PBB,06:50
3419331E,LifeTag,glue-on,yes,2/19/23,Chalcostigma_heteropogon,WOO,07:03
0752194C,LifeTag,harness,yes,1/18/23,Pterophanes_cyanopterus,PPW,06:50
074B4B19,LifeTag,glue-on,no,NA,NA,NA,NA
334B071E,PowerTag,glue-on,no,NA,NA,NA,NA
4C4B1E2D,PowerTag,glue-on,yes,12/02/2022,Chalcostigma_heteropogon,BGP,09:30
192A662A,PowerTag,glue-on,no,NA,NA,NA,NA
55783355,PowerTag,glue-on,no,NA,NA,NA,NA
52612A2A,PowerTag,glue-on,no,NA,NA,NA,NA
4B195252,PowerTag,glue-on,no,NA,NA,NA,NA
6107334C,PowerTag,glue-on,no,NA,NA,NA,NA
3366522D,PowerTag,glue-on,yes,12/02/2022,Chalcostigma_heteropogon,BGO,07:10
4B071E66,PowerTag,glue-on,yes,12/01/2022,Chalcostigma_heteropogon,BGG,07:40
19555266,PowerTag,glue-on,no,NA,NA,NA,NA
