Own_NodeId,NodeId,Latitude,Longitude,NodeUTMx,NodeUTMy
N01,3288E6,4.525,-73.77278,1033817.2843611405,992133.6605186285
N02,3775bf,4.52633,-73.77245,1033853.8447784513,992280.7509479809
N03,37a5e9,4.52773,-73.77207,1033895.9505866315,992435.5845362542
N04,3290ef,4.529,-73.77177,1033929.1842105857,992576.0386625228
N05,328840,4.52467,-73.77147,1033962.6788065596,992097.2293420148
N06,37774c,4.52603,-73.77114,1033999.2375842263,992247.6373356795
N07,376095,4.52733,-73.77081,1034035.7990107774,992391.4103946524
N08,37a200,4.52861,-73.7705,1034070.1417089979,992532.9708896327
N09,377905,4.52433,-73.77016,1034108.0738680864,992059.6925914339
N10,3774a7,4.52567,-73.76984,1034143.5235748055,992207.8885411961
N11,3275dd,4.52694,-73.7695,1034181.1959400387,992348.3446679057
N12,377bc2,4.52825,-73.7692,1034214.427241881,992493.2222516807
N13,32820a,4.52397,-73.76886,1034252.3602557678,992019.9439671093
N14,379611,4.52531,-73.76855,1034286.699960299,992168.1395236012
N15,328b9b,4.52661,-73.76825,1034319.9316432158,992311.9113243255
N16,37917d,4.52789,-73.76794,1034354.2738939298,992453.4719693608
N17,376e5f,4.52354,-73.76755,1034397.7598713691,991972.4552697926
N18,3783b7,4.52472,-73.76727,1034428.7776034886,992102.9562333962
N19,377483,4.52601,-73.76694,1034465.3388334932,992245.623701854
N20,376141,4.5273,-73.76665,1034497.4608738294,992388.289299682
N21,37a807,4.52844,-73.7663,1034536.2484513745,992514.3703556089
N22,37a7f9,4.52976,-73.76605,1034563.9297742606,992660.3515862
N23,37a447,4.53119,-73.7657,1034602.7033019529,992818.5017206478
N24,375f15,4.52305,-73.7663,1034536.5039123059,991918.3290028538
N25,376f25,4.52434,-73.76624,1034543.1013928782,992060.9836745929
N26,37a114,4.52547,-73.76564,1034609.6336638767,992185.9708188501
N27,3762cf,4.52671,-73.76534,1034642.8676233464,992323.1078240353
N28,376ced,4.52816,-73.76495,1034686.0792941224,992483.4715510261
N29,377147,4.52919,-73.76471,1034712.6644314878,992597.3833482808
N30,37714f,4.53056,-73.76434,1034753.6600878686,992748.8995574308
N31,377256,4.52258,-73.76505,1034675.2472024893,991866.4146188485
N32,376eca,4.52367,-73.76482,1034700.7199969322,991986.9608713961
N33,37840a,4.52507,-73.76438,1034749.4829883856,992141.7978623515
N34,37ab20,4.52628,-73.76413,1034777.1693557182,992275.6150585681
N35,378579,4.52753,-73.7638,1034813.7317919248,992413.8594255185
N36,377ae4,4.52875,-73.7635,1034846.9662456766,992548.784896261
N37,3769cc,4.53014,-73.76311,1034890.1802407291,992702.5138068462
N38,3798b0,4.52902,-73.76759,1034393.0621247117,992578.4471170695
N39,3785ce,4.53032,-73.76729,1034426.2934007272,992722.2190009817
N40,375d74,4.53164,-73.767,1034458.4138398358,992868.2020931592
N41,37930f,4.52955,-73.76883,1034255.4271784681,992636.997339387
N42,37a144,4.53079,-73.76843,1034299.7590457645,992774.1389135171
N43,377747,4.53203,-73.76807,1034339.6517331714,992911.2786326103
N44,378a6d,4.52995,-73.77008,1034116.6887815549,992681.1715518009
N45,375f25,4.53143,-73.76965,1034164.3388483037,992844.8543202
N46,37ab1a,4.53253,-73.76928,1034205.3480527217,992966.5128408587
