Time,RadioId,TagId,TagRSSI,NodeId,Validated,Time.format,Time.local
2023-04-29 13:32:23,1,1955342A,-110,376eca,1,2023-04-29T13:32:23Z,2023-04-29T13:32:23Z
2023-04-29 13:56:56,1,1955342A,-113,376eca,1,2023-04-29T13:56:56Z,2023-04-29T13:56:56Z
2023-04-29 14:00:38,1,1955342A,-112,376eca,1,2023-04-29T14:00:38Z,2023-04-29T14:00:38Z
2023-04-29 14:33:12,1,1955342A,-109,376eca,1,2023-04-29T14:33:12Z,2023-04-29T14:33:12Z
2023-04-29 14:53:13,1,1955342A,-110,376eca,1,2023-04-29T14:53:13Z,2023-04-29T14:53:13Z
2023-04-29 16:04:35,1,1955342A,-110,376eca,0,2023-04-29T16:04:35Z,2023-04-29T16:04:35Z
2023-04-29 16:09:00,1,1955342A,-110,376eca,1,2023-04-29T16:09:00Z,2023-04-29T16:09:00Z
2023-04-29 16:17:30,1,1955342A,-113,376eca,1,2023-04-29T16:17:30Z,2023-04-29T16:17:30Z
2023-04-29 16:34:28,1,1955342A,-109,376eca,1,2023-04-29T16:34:28Z,2023-04-29T16:34:28Z
2023-04-29 16:36:18,1,1955342A,-109,376eca,1,2023-04-29T16:36:18Z,2023-04-29T16:36:18Z
2023-04-29 16:38:33,1,1955342A,-109,376eca,1,2023-04-29T16:38:33Z,2023-04-29T16:38:33Z
2023-04-29 16:41:07,1,1955342A,-109,376eca,1,2023-04-29T16:41:07Z,2023-04-29T16:41:07Z
2023-04-29 16:46:49,1,1955342A,-111,376eca,1,2023-04-29T16:46:49Z,2023-04-29T16:46:49Z
2023-04-29 16:49:05,1,1955342A,-111,376eca,1,2023-04-29T16:49:05Z,2023-04-29T16:49:05Z
2023-04-29 16:53:33,1,1955342A,-110,376eca,1,2023-04-29T16:53:33Z,2023-04-29T16:53:33Z
2023-04-29 16:58:31,1,1955342A,-109,376eca,1,2023-04-29T16:58:31Z,2023-04-29T16:58:31Z
2023-04-29 17:06:00,1,1955342A,-109,376eca,1,2023-04-29T17:06:00Z,2023-04-29T17:06:00Z
2023-04-29 17:09:45,1,1955342A,-110,376eca,1,2023-04-29T17:09:45Z,2023-04-29T17:09:45Z
2023-04-29 17:19:02,1,1955342A,-109,376eca,1,2023-04-29T17:19:02Z,2023-04-29T17:19:02Z
2023-04-29 17:21:07,1,1955342A,-108,376eca,1,2023-04-29T17:21:07Z,2023-04-29T17:21:07Z
2023-04-29 17:22:38,1,1955342A,-109,376eca,1,2023-04-29T17:22:38Z,2023-04-29T17:22:38Z
2023-04-29 17:23:35,1,1955342A,-109,376eca,1,2023-04-29T17:23:35Z,2023-04-29T17:23:35Z
2023-04-29 17:24:51,1,1955342A,-111,376eca,1,2023-04-29T17:24:51Z,2023-04-29T17:24:51Z
2023-04-29 17:26:21,1,1955342A,-108,376eca,1,2023-04-29T17:26:21Z,2023-04-29T17:26:21Z
2023-04-29 17:26:26,1,1955342A,-108,376eca,1,2023-04-29T17:26:26Z,2023-04-29T17:26:26Z
2023-04-29 17:27:38,1,1955342A,-108,376eca,1,2023-04-29T17:27:38Z,2023-04-29T17:27:38Z
2023-04-29 17:27:43,1,1955342A,-109,376eca,1,2023-04-29T17:27:43Z,2023-04-29T17:27:43Z
2023-04-29 17:29:13,1,1955342A,-108,376eca,0,2023-04-29T17:29:13Z,2023-04-29T17:29:13Z
2023-04-29 17:29:18,1,1955342A,-110,376eca,0,2023-04-29T17:29:18Z,2023-04-29T17:29:18Z
2023-04-29 17:33:29,1,1955342A,-108,376eca,1,2023-04-29T17:33:29Z,2023-04-29T17:33:29Z
2023-04-29 17:34:37,1,1955342A,-108,376eca,1,2023-04-29T17:34:37Z,2023-04-29T17:34:37Z
2023-04-29 17:34:42,1,1955342A,-109,376eca,1,2023-04-29T17:34:42Z,2023-04-29T17:34:42Z
2023-04-29 17:36:33,1,1955342A,-109,376eca,1,2023-04-29T17:36:33Z,2023-04-29T17:36:33Z
2023-04-29 17:39:14,1,1955342A,-108,376eca,1,2023-04-29T17:39:14Z,2023-04-29T17:39:14Z
2023-04-29 17:39:19,1,1955342A,-108,376eca,1,2023-04-29T17:39:19Z,2023-04-29T17:39:19Z
2023-04-29 17:40:25,1,1955342A,-109,376eca,1,2023-04-29T17:40:25Z,2023-04-29T17:40:25Z
2023-04-29 17:41:14,1,1955342A,-108,376eca,1,2023-04-29T17:41:14Z,2023-04-29T17:41:14Z
2023-04-29 17:41:29,1,1955342A,-110,376eca,1,2023-04-29T17:41:29Z,2023-04-29T17:41:29Z
2023-04-29 17:41:45,1,1955342A,-109,376eca,0,2023-04-29T17:41:45Z,2023-04-29T17:41:45Z
